Record Length,Analog:14000
Sample Interval,CH:0.0000000500000
Vertical Units,CH1:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-03 CH4:+5.000000E-01,,,
Vertical Offset,CH1:+6.400000E-04 CH4:+2.700000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,50.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2044,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH4
Second,Volt,Volt
-5.225000E-05,-9.600000E-04,-1.990000E+00
-5.220000E-05,-8.799999E-04,-1.990000E+00
-5.215000E-05,-9.600000E-04,-1.990000E+00
-5.210000E-05,-8.799999E-04,-1.970000E+00
-5.205000E-05,-9.600000E-04,-1.990000E+00
-5.200000E-05,-8.799999E-04,-1.990000E+00
-5.195000E-05,-8.799999E-04,-1.990000E+00
-5.190000E-05,-8.799999E-04,-1.990000E+00
-5.185000E-05,-8.799999E-04,-1.990000E+00
-5.180000E-05,-8.799999E-04,-1.990000E+00
-5.175000E-05,-8.799999E-04,-1.970000E+00
-5.170000E-05,-8.799999E-04,-1.990000E+00
-5.165000E-05,-9.600000E-04,-1.990000E+00
-5.160000E-05,-9.600000E-04,-1.990000E+00
-5.155000E-05,-9.600000E-04,-1.990000E+00
-5.150000E-05,-9.600000E-04,-1.970000E+00
-5.145000E-05,-9.600000E-04,-1.990000E+00
-5.140000E-05,-9.600000E-04,-1.990000E+00
-5.135000E-05,-8.799999E-04,-1.990000E+00
-5.130000E-05,-9.600000E-04,-1.970000E+00
-5.125000E-05,-1.040000E-03,-1.990000E+00
-5.120000E-05,-1.040000E-03,-1.990000E+00
-5.115000E-05,-9.600000E-04,-1.990000E+00
-5.110000E-05,-1.040000E-03,-1.970000E+00
-5.105000E-05,-9.600000E-04,-1.990000E+00
-5.100000E-05,-9.600000E-04,-1.990000E+00
-5.095000E-05,-8.799999E-04,-1.970000E+00
-5.090000E-05,-8.799999E-04,-1.970000E+00
-5.085000E-05,-9.600000E-04,-1.990000E+00
-5.080000E-05,-9.600000E-04,-1.990000E+00
-5.075000E-05,-9.600000E-04,-1.990000E+00
-5.070000E-05,-9.600000E-04,-1.970000E+00
-5.065000E-05,-9.600000E-04,-1.970000E+00
-5.060000E-05,-9.600000E-04,-1.990000E+00
-5.055000E-05,-8.799999E-04,-1.990000E+00
-5.050000E-05,-9.600000E-04,-1.970000E+00
-5.045000E-05,-1.040000E-03,-1.990000E+00
-5.040000E-05,-9.600000E-04,-1.990000E+00
-5.035000E-05,-8.799999E-04,-1.990000E+00
-5.030000E-05,-9.600000E-04,-1.990000E+00
-5.025000E-05,-9.600000E-04,-1.990000E+00
-5.020000E-05,-1.040000E-03,-1.990000E+00
-5.015000E-05,-8.799999E-04,-1.990000E+00
-5.010000E-05,-9.600000E-04,-1.990000E+00
-5.005000E-05,-1.040000E-03,-1.990000E+00
-5.000000E-05,-9.600000E-04,-1.990000E+00
-4.995000E-05,-9.600000E-04,-1.990000E+00
-4.990000E-05,-1.040000E-03,-1.990000E+00
-4.985000E-05,-9.600000E-04,-1.990000E+00
-4.980000E-05,-9.600000E-04,-1.990000E+00
-4.975000E-05,-8.799999E-04,-1.990000E+00
-4.970000E-05,-9.600000E-04,-1.990000E+00
-4.965000E-05,-9.600000E-04,-1.990000E+00
-4.960000E-05,-9.600000E-04,-1.990000E+00
-4.955000E-05,-9.600000E-04,-1.990000E+00
-4.950000E-05,-9.600000E-04,-1.970000E+00
-4.945000E-05,-9.600000E-04,-1.990000E+00
-4.940000E-05,-9.600000E-04,-1.990000E+00
-4.935000E-05,-9.600000E-04,-1.990000E+00
-4.930000E-05,-9.600000E-04,-1.990000E+00
-4.925000E-05,-9.600000E-04,-1.990000E+00
-4.920000E-05,-8.799999E-04,-1.990000E+00
-4.915000E-05,-9.600000E-04,-1.970000E+00
-4.910000E-05,-9.600000E-04,-1.990000E+00
-4.905000E-05,-8.799999E-04,-1.990000E+00
-4.900000E-05,-9.600000E-04,-1.990000E+00
-4.895000E-05,-9.600000E-04,-1.970000E+00
-4.890000E-05,-9.600000E-04,-1.990000E+00
-4.885000E-05,-9.600000E-04,-1.990000E+00
-4.880000E-05,-9.600000E-04,-1.990000E+00
-4.875000E-05,-9.600000E-04,-1.990000E+00
-4.870000E-05,-9.600000E-04,-1.990000E+00
-4.865000E-05,-9.600000E-04,-1.990000E+00
-4.860000E-05,-8.799999E-04,-1.990000E+00
-4.855000E-05,-9.600000E-04,-1.990000E+00
-4.850000E-05,-9.600000E-04,-1.990000E+00
-4.845000E-05,-8.799999E-04,-1.990000E+00
-4.840000E-05,-8.799999E-04,-1.990000E+00
-4.835000E-05,-8.799999E-04,-1.970000E+00
-4.830000E-05,-9.600000E-04,-1.970000E+00
-4.825000E-05,-8.799999E-04,-1.990000E+00
-4.820000E-05,-8.799999E-04,-1.990000E+00
-4.815000E-05,-9.600000E-04,-1.990000E+00
-4.810000E-05,-9.600000E-04,-1.990000E+00
-4.805000E-05,-9.600000E-04,-1.990000E+00
-4.800000E-05,-9.600000E-04,-1.990000E+00
-4.795000E-05,-8.799999E-04,-1.990000E+00
-4.790000E-05,-9.600000E-04,-1.990000E+00
-4.785000E-05,-8.799999E-04,-1.990000E+00
-4.780000E-05,-8.799999E-04,-1.990000E+00
